Index,Query(한글),LLM Output
1VJZIG,고정 공기 청정 실행해줘 그리고 토요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=8, location=""0"")<end>"
1VMEHJ,음소거 기능 활성화를 원해요 그리고 이번에 새로 나온 영화 본 사람 있어,<function_MV>(mute=True);<function_MR>()<end>
1VOPRN,스테이션 위치로 복귀하세요 오늘 부산 공기 어때,"<function_KI>();<function_IO>(timeframe=0, location=부산)<end>"
1VQQAB,주말 오타와 날씨 비 와,"<function_MO>(timeframe=2, location=""오타와"")<end>"
1WANRN,수요일 오사카 날씨 비 와 다음으로 다음 주에는 조금 더 부지런하게 지내야겠다고 다짐 중이야,"<function_MO>(timeframe=5, location=오사카);<function_MR>()<end>"
1WAVVT,오늘은 일찍 자야지 내일 할 일이 많거든 또 일요일 공기질 상태 알려줘,"<function_MR>();<function_IO>(timeframe=9, location=""0"")<end>"
1WAYFB,나 쪽으로 돌려주겠니?,<function_FR>()<end>
1WBYZE,어디 가는 거야,<function_MR>()<end>
1WDMZN,내일은 일찍 일어나서 하루를 길게 써보려고 해,<function_MR>()<end>
1WDXGY,수요일 샌프란시스코 날씨 안내해죠,"<function_MO>(timeframe=5, location=""샌프란시스코"")<end>"
1WHTMO,충전 위치로 되돌아가 또 수요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=""0"")<end>"
1WPPGX,스테이션 위치로 복귀하세요 그리고 바람 강도 터보로 맞춰줘,<function_KI>();<function_NK>(speed=4)<end>
1WQPYO,릴렉스 모드에 대해 간단히 설명해줘,<function_EN>(type=6)<end>
1WQPZM,릴렉스 모드가 무엇을 하는지 궁금해요,<function_EN>(type=6)<end>
1WZVPW,오늘 저녁 뭐 먹지,<function_MR>()<end>
1XGGOX,음량을 일로 설정해줘,<function_ZV>(volume=1)<end>
1XMSNU,센서창 청소 방법을 설명해줘,<function_PC>(type=4)<end>
1XQEIT,인터넷에서 쇼핑하는 거 좋아해,<function_MR>()<end>
1XQEPE,내일은 친구랑 점심 먹으러 가기로 했어,<function_MR>()<end>
1XSHFS,자동 풍속으로 조정해줘 이어서 넌 주말에 보통 뭐 해,<function_NK>(speed=0);<function_MR>()<end>
1XXCMG,고정 청정 온 그리고 프라이버시 기능 꺼줘,<function_PG>();<function_GN>(enable=False)<end>
1YDQNW,고정 공기 청정 실행해줘 그러고 나서 음량을 20퍼센트로 올려줘,<function_PG>();<function_ZV>(volume=1)<end>
1YEGLO,고정 공기 청정 실행해줘 음성 인식 기능 켜줘,<function_PG>();<function_QT>(enable=True)<end>
1YFACS,내일 빈 날씨 좀 알려줘,"<function_MO>(timeframe=1, location=""빈"")<end>"
1YIURM,홍성 월요일 날씨 어때요,"<function_MO>(timeframe=3, location=""홍성"")<end>"
1YJEGT,내일 시간 있어,<function_MR>()<end>
1YKPJF,어두운 모드로 바꿔줘,<function_BS>(enable=True)<end>
1YLQSL,이거 어디서 샀어,<function_MR>()<end>
1YMQRJ,에이아이 모드는 어디서 설정해,<function_JS>(type=10)<end>
1YOSWB,고정 공청 기능 켜줘 또 토요일 광진구 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=8, location=광진구)<end>"
1YPSCC,주말에 친구랑 캠핑 갈 거야,<function_MR>()<end>
1YWLXO,스크린에서 필터 상태 보여주세요.,<function_UJ>()<end>
1YZFFJ,고정 공기 청정 가동 시작해줘 그리고 음소거 상태 알려줘,<function_PG>();<function_MV>(get=True)<end>
1ZANWS,실외 대기질 정보 연동 기능을 비활성화해 주세요 에이아이 모드에서,"<function_BP>(enable=1, type=0)<end>"
1ZCZNQ,쳥정 리포트 보고싶어,<function_CE>()<end>
1ZHEZT,고정 공기 청정 가동 시작해줘 다음으로 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>
1ZJHEN,스테이션 위치로 복귀하세요 또 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>
1ZMSZS,아침에 일어나기가 정말 힘들어,<function_MR>()<end>
1ZTUFQ,이제 그만 복귀해 그리고 목요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>"
1ZWZBA,오늘 점심은 간단하게 먹고 싶어,<function_MR>()<end>
1ZYOPX,음성인식 기능 켜져있어,<function_QT>(get=True)<end>
2AADIF,공기청정기 몇 대 정도 있어야 가장 좋을까요?,<function_CS>(type=2)<end>
2AAUWC,고정 공청 기능 켜줘 그리고 오류 히스토리 확인해줘,<function_PG>();<function_XO>()<end>
2ACGWF,다음 달에 있을 모임을 준비하려고 하는데 뭘 준비해야 할지 고민이야,<function_MR>()<end>
2ACQAB,일요일 미세먼지 정보 보여줘 또 아침에 먹은 커피가 너무 진해서 잠이 확 깨더라,"<function_IO>(timeframe=9, location=""0"");<function_MR>()<end>"
2ADZZQ,내일 아부다비 포름알데히드 농도 높아,"<function_IO>(timeframe=1, location=""아부다비"")<end>"
2AERYM,고정 공기 청정 가동 시작해줘 그 다음에 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_PG>();<function_WN>(brightness=5)<end>
2AFXBK,웨이크업 기능에 대해서 설명해줄래,<function_EN>(type=5)<end>
2AGHOT,오늘 저녁은 무슨 메뉴로 할지 고민 중이야,<function_MR>()<end>
2AJZHV,고정 공기 청정 가동 시작해줘 그리고 에이아이 모드에서 모두 종료할 수 있어,"<function_PG>();<function_BP>(enable=1, type=2)<end>"
2AUOVF,좋아하는 스포츠가 뭐야,<function_MR>()<end>
2AUTKW,풍량 낮춰주실래요?,<function_NK>(speed=-1)<end>
2BABDE,금요일 사이판 날씨 알려주세요,"<function_MO>(timeframe=7, location=""사이판"")<end>"
2BABLV,일본어로 고마워는 어떻게 말해,<function_MR>()<end>
2BDANS,이번 주에 새로운 프로젝트가 시작돼서 기대 중이야 그러고 나서 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_MR>();<function_BP>(enable=1, type=0)<end>"
2BGZNQ,공기청정기 최대 소음 수준을 알고 싶어.,<function_SB>(type=3)<end>
2BHSWN,이제 그만 복귀해 그리고 강풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=3)<end>
2BPGCT,청정 켜봐 다음으로 월요일 공기질 예보를 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>"
2BPVUT,밝기 조절해줄 수 있어?,<function_WN>(brightness=-1)<end>
2BSZAN,오늘은 하루가 정말 빨리 지나갔어 뭘 했는지 모르겠어,<function_MR>()<end>
2BVIJI,수요일 안양 날씨 알려줘,"<function_MO>(timeframe=5, location=""안양"")<end>"
2BZAOF,매너모드 실행해줄래 또 저녁에 산책할 때 조용한 음악을 들으면 기분이 좋아져,<function_ZX>(enable=True);<function_MR>()<end>
2CADJZ,오늘 하루는 정말 길었어 이제 쉬고 싶다 그 다음에 필터 상태 알려주세요,<function_MR>();<function_UJ>()<end>
2CECEV,오늘 점심은 뭐 먹지 뭔가 색다른 걸 먹어보고 싶어,<function_MR>()<end>
2CIOCN,다음 주말에 여행 가려고 계획 세우고 있어,<function_MR>()<end>
2CJKLD,유부이 엘이디 상태 알려줘,<function_NN>(get=True)<end>
2CRPRQ,이번 주말에는 뭘 할까 미리 계획을 세워야겠어,<function_MR>()<end>
2CSIMI,새로 산 옷이 너무 마음에 들어 매일 입고 다니고 있어 또 감지 감도를 낮게 설정해줘,<function_MR>();<function_QD>(type=0)<end>
2DBFFZ,지금 화면에 뜬 에러코드는 왜 생긴거에요,<function_UY>()<end>
2DDRCE,내일 빈 초미세먼지 농도 어때,"<function_IO>(timeframe=1, location=""빈"")<end>"
2DFLTX,공기질 표시 엘이디 꺼줘,<function_SC>(enable=False)<end>
2DKEUO,프라이버시 설정해줘,<function_GN>(enable=True)<end>
2DPPPG,내일은 조금 더 부지런하게 보내야지 할 일이 많아,<function_MR>()<end>
2DRJHC,충전하러 복귀 그리고 팬 풍냥 중풍 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>
2DSSZI,"아, 그만하고 싶다, 이거 또 매너모드 활성화해줘",<function_MR>();<function_ZX>(enable=True)<end>
2DZZSI,이번 주말에 새로운 식당을 찾아가볼까 고민 중이야 그러고 나서 이동 잠시 일시 정지해줘,<function_MR>();<function_YA>(move=1)<end>
2EFMPG,목소리 성별 바꾸게 도와줘,<function_GQ>(gender=-1)<end>
2EGZUB,고정 공기 청정 실행해줘 그 다음에 감지 감도를 낮게 설정해줘,<function_PG>();<function_QD>(type=0)<end>
2EJSIT,고정 공청 기능 켜줘 다음으로 공간별 누적 공기질 정보 연동 옵션을 비활성화해주실래요,"<function_PG>();<function_BP>(enable=1, type=1)<end>"
2ENQUZ,주말 공기질 상태 알려죠,"<function_IO>(timeframe=2, location=""0"")<end>"
2EOZQW,새로운 스킬을 배우고 싶어,<function_MR>()<end>
2ESLWK,나만의비밀룸에서 청정해줄 수 있어요,"<function_FF>(position=""나만의비밀룸"")<end>"
2ETPGM,소리 볼륨을 이로 맞춰줘 다음으로 이번 주말에 뭐 할거야,<function_ZV>(volume=2);<function_MR>()<end>
2EUMHA,"집에서 영화 보는 게 좋아, 아니면 영화관이 좋아",<function_MR>()<end>
2EVZGD,이번에 새로 나온 게임 해봤어 정말 재미있더라,<function_MR>()<end>
2EWGHX,유브이 살균 엘이디 켜줄래,<function_NN>(enable=True)<end>
2EYSLQ,내일은 친구들과 카페에서 시간을 보낼 계획이야,<function_MR>()<end>
2EZKYK,새로 나온 게임이 재미있어 보이던데 언제 한번 해봐야겠어,<function_MR>()<end>
2FCHBN,요즘 스트레스를 너무 많이 받아서 운동으로 풀고 있어,<function_MR>()<end>
2FCLXE,요즘 스트레스가 많아,<function_MR>()<end>
2FDOAF,고정 공기 청정 실행해줘 그 다음에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_PG>();<function_WN>(get=True)<end>
2FHCXF,요즘 무슨 취미 생겼어,<function_MR>()<end>
2FJCBI,오늘 점심 뭐 먹지,<function_MR>()<end>
2FKBTP,일요일 날씨 전망을 표시해줄 수 있어,"<function_MO>(timeframe=9, location=""0"")<end>"
2FKJMH,월요일 날씨 보여줘,"<function_MO>(timeframe=3, location=""0"")<end>"
2FNPGF,책상 정리 좀 해야겠어 너무 지저분해졌어,<function_MR>()<end>
2FOVEL,유기화합물이 뭐예요,<function_HW>(type=3)<end>
2FRTXV,남성 목소리로 설정해줘,<function_GQ>(gender=2)<end>
2FTFMR,오늘은 뭘 해야 할지 모르겠어 그냥 편하게 쉬고 싶어,<function_MR>()<end>
2FTTUC,현재 프라이버시가 어떤 상태입니까 그 다음에 다음 주에 중요한 발표가 있는데 준비가 잘 될지 걱정 돼,<function_GN>(get=True);<function_MR>()<end>
2FVZBN,당신의 소개를 들려주세요.,<function_EN>(type=1)<end>
2FWFZE,제품 외관 청소하는 법 알려죠,<function_PC>(type=8)<end>
2GAWSS,친구가 보내준 선물이 정말 마음에 들어 오랜만에 웃었어,<function_MR>()<end>
2GDJJN,최근에 다이어트를 시작했어,<function_MR>()<end>
2GFTMS,충전하러 복귀 이어서 터치음을 육십퍼로 설정해줘,<function_KI>();<function_ZV>(volume=3)<end>
2GHLNP,완충하기까지 얼마나 시간이 소요 돼,<function_KP>(type=1)<end>
2GMHXV,테마를 상세 공기질로 변경해주실래요 이어서 새로 나온 영화가 기대 돼 이번 주말에 보러 갈까 생각 중이야,<function_HG>(theme=2);<function_MR>()<end>
2GNVII,스테이션 위치로 복귀하세요 그 후에 일요일 군산 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=9, location=군산)<end>"
2GOAAR,책 좀 추천해줘,<function_MR>()<end>
2GOJKA,현재 맨해튼 미세먼지 수치를 화면에 보여줘,"<function_IO>(timeframe=0, location=""맨해튼"")<end>"
2GTCZA,공청기의 최대 소음을 알려줘.,<function_SB>(type=3)<end>
2GXGUV,주말 목포 날씨 더울까,"<function_MO>(timeframe=2, location=""목포"")<end>"
2HBEJE,오늘은 가볍게 산책을 하면서 하루를 마무리해야겠어,<function_MR>()<end>
2HBHGT,주말 김포 날씨 알려줘,"<function_MO>(timeframe=2, location=""김포"")<end>"
2HHJQR,읽고 있는 책이 정말 두꺼워,<function_MR>()<end>
2HHRJW,고정 청정 온 그리고 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>
2HIHZN,이제 그만 복귀해 또 음량을 40퍼센트로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>
2HNEUD,패밀리룸에서 청정 활성화 진행해주세요,"<function_FF>(position=""패밀리룸"")<end>"
2HRSMB,일요일 벤쿠버 날씨 어때,"<function_MO>(timeframe=9, location=""벤쿠버"")<end>"
2HSRXS,가장 좋아하는 아이스크림 맛이 뭐야,<function_MR>()<end>
2HUGHV,겨울엔 정말 추운 걸 싫어해,<function_MR>()<end>
2HVLGU,미슐콜츠의 금요일 날씨 정보 표시해줄래,"<function_MO>(timeframe=7, location=""미슐콜츠"")<end>"
2HYELS,새로 나온 앨범 어땠어,<function_MR>()<end>
2HYYIE,금요일 안산 날씨 좀 알려주세요,"<function_MO>(timeframe=7, location=""안산"")<end>"
2HZQTL,고정 공청 기능 켜줘 그 후에 화요일 홍콩 날씨 어때,"<function_PG>();<function_MO>(timeframe=4, location=홍콩)<end>"
2IBFUI,산소포화도 확인하고 싶어요 다음으로 다음 주말에는 부모님과 시간을 보내기로 했어,<function_GV>();<function_MR>()<end>
2IBQLZ,선택된 공간의 공기를 깨끗하게 해줘,<function_FF>(position=-1)<end>
2ICCSB,내 뒤를 따라와 그 다음에 이번 주말에는 가족들이랑 시간을 보내기로 했어,<function_CK>();<function_MR>()<end>
2IEKQZ,엘이디 화면밝기를 이단계로 설정해줘,<function_WN>(brightness=2)<end>
2IGDLX,스테이션 복귀해,<function_KI>()<end>
2IIESY,목소리 여성으로 설정해줘,<function_GQ>(gender=1)<end>
2IJLJR,충전하러 복귀 다음으로 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>
2IKEJC,월요일 삿포로 날씨 비 와요,"<function_MO>(timeframe=3, location=""삿포로"")<end>"
2IMIJI,유브이 엘이디는 어떤 기능이야,<function_JS>(type=6)<end>
2INJQL,갑자기 충전이 안되는데 어떡하지,<function_KP>(type=2)<end>
2IOGVA,내일은 좀 더 부지런히 일해야겠어 할 일이 많거든,<function_MR>()<end>
2IPPPK,이번에 무슨 브랜드를 살까 고민 중이야 그리고 주말 공기질 상태 알려줘,"<function_MR>();<function_IO>(timeframe=2, location=""0"")<end>"
2IVFFI,야외휴게실 청정 시스템 작동해주실래요,"<function_FF>(position=""야외휴게실"")<end>"
2IYONZ,운동 다녀왔어 그리고 풍량을 약풍으로 바꿔줘,<function_MR>();<function_NK>(speed=1)<end>
2IYQUF,주말에 만날 수 있어,<function_MR>()<end>
2IYUPE,고정 공기 청정 실행해줘 그러고 나서 팔로미,<function_PG>();<function_CK>()<end>
2JABAE,이제 그만 복귀해 그리고 엘씨디를 0프로 밝기로 조정해줄래,<function_KI>();<function_WN>(brightness=0)<end>
2JEDCG,현 시점 광진구 대기 상태 알려줘,"<function_IO>(timeframe=0, location=""광진구"")<end>"
2JISRH,선택 공간 청정 할래,<function_FF>(position=-1)<end>
2JKILC,요즘 음악 추천 좀 해줘,<function_MR>()<end>
2JKWEF,새로 산 가구가 정말 마음에 들어 집이 훨씬 넓어 보이더라,<function_MR>()<end>
2JMNFX,공기 모니터링 화면 보여줄래,"<function_IO>(timeframe=0, location=""0"")<end>"
2JRTNW,터치음을 사십퍼로 올려줘 다음으로 넌 무슨 취미 있어,<function_ZV>(volume=2);<function_MR>()<end>
2JVDAV,목요일 후쿠오카 날씨 비 와요,"<function_MO>(timeframe=6, location=""후쿠오카"")<end>"
2JVFTO,커피 한 잔 할래,<function_MR>()<end>
2KASSV,일요일 몬트리올 날씨 비 와 다음으로 새로 산 책이 너무 재미있어서 밤새 읽었어,"<function_MO>(timeframe=9, location=몬트리올);<function_MR>()<end>"
2KCQQZ,다음 주말에는 가족들과 여행을 가기로 했어,<function_MR>()<end>
2KDOAE,최대 소음은 어느 정도야?,<function_SB>(type=3)<end>
2KOJNT,이번 주에는 운동을 좀 더 열심히 해야겠어 체력이 떨어지는 것 같아,<function_MR>()<end>
2KZPEE,유기화합물이란 무엇을 의미합니까,<function_HW>(type=3)<end>
2LAHPZ,오늘 저녁 뭐 먹지 그 다음에 밝기를 제로로 설정해줘,<function_MR>();<function_WN>(brightness=0)<end>
2LDDZR,미디어실에서 공기청정 동작해주세요,"<function_FF>(position=""미디어실"")<end>"
2LKEXM,게임방 청정 실행해봐,"<function_FF>(position=""게임방"")<end>"
2LQTMC,팬 풍량이 몇이야,<function_NK>(get=True)<end>
2LWQZB,주말엔 보통 뭐해,<function_MR>()<end>
2LXTGV,요즘 재미있는 책 있어 또 스캐닝 공기청정 꺼라,<function_MR>();<function_IH>(scan=False)<end>
2MBWRT,나무 남성으로 지정해주실래요 그 다음에 다음 달에 있을 여행을 위해 준비해야 할 것들이 많아,<function_GQ>(gender=2);<function_MR>()<end>
2MDBQK,집에서 푹 쉬는 게 좋아,<function_MR>()<end>
2MKJSJ,이번 주말에 콘서트 가볼까,<function_MR>()<end>
2MNIRU,고정 공청 기능 켜줘 팬 풍냥 강풍 세기로 해줘,<function_PG>();<function_NK>(speed=3)<end>
2MQOHP,선택 공간 공기청정 해줄래,<function_FF>(position=-1)<end>
2NCBNM,충전하러 복귀 이어서 목요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=6, location=""0"")<end>"
2NDGBI,최근 하는 일이 뭐야,<function_MR>()<end>
2NEQLI,프라이버시 모드 켜줘,<function_GN>(enable=True)<end>
2NFIWW,요즘 들어 스트레스를 많이 받아서 여행을 가고 싶어,<function_MR>()<end>
2NFNYF,공기청정기 설치 방법에서 주의할 점 있어?,<function_DW>(type=3)<end>
2NJOYX,고정 공청 기능 켜줘 다음으로 주말 파리의 공기질 예보를 보여줘,"<function_PG>();<function_IO>(timeframe=2, location=파리)<end>"
2NMIST,내일 마닐라 날씨 알려주세요,"<function_MO>(timeframe=1, location=""마닐라"")<end>"
2NSRPE,고정 청정 온 목요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=6, location=""0"")<end>"
2NVEXM,몇 월 며칠인지 알려줘.,<function_SV>(type=5)<end>
2NYLEI,음소거 꺼줘,<function_MV>(mute=False)<end>
2NZITO,선택 공간 공기청정 해주면 안 돼,<function_FF>(position=-1)<end>
2NZJUH,공간별 누적 대기질 정보 연동 작동 중인가요 이어서 오늘 하루는 너무 길어서 이제 좀 쉬고 싶어,<function_BP>(get=True);<function_MR>()<end>
2OEQCX,요즘 뜨는 밴드 알아,<function_MR>()<end>
2OHHIY,디스플레이 기본 설정으로 조정해줄래,<function_WN>(brightness=-1)<end>
2OHPOR,고정 공기 청정 가동 시작해줘 그리고 프라이버시 기능 켜져있나요,<function_PG>();<function_GN>(get=True)<end>
2OIBBH,1강의실에서 청정해줄 수 있을까요,"<function_FF>(position=""1강의실"")<end>"
2OKTBV,이번에 새로 산 옷 어때,<function_MR>()<end>
2OPXJC,고정 공청 기능 켜줘 그러고 나서 터치음을 사십퍼로 올려줘,<function_PG>();<function_ZV>(volume=2)<end>
2OPYEW,고정 청정 온 그리고 금요일 공기질 상태 알려줘,"<function_PG>();<function_IO>(timeframe=7, location=""0"")<end>"
2OTHQD,내일은 아침 일찍 일어나서 운동을 해야겠어,<function_MR>()<end>
2OWXJO,나 좀 우울한 것 같아,<function_MR>()<end>
2PABAO,음량을 오단계로 설정해줘,<function_ZV>(volume=5)<end>
2PAJYU,내일 은평구의 공기질 예보를 보여줘,"<function_IO>(timeframe=1, location=""은평구"")<end>"
2PDLTR,고정 공청 기능 켜줘 그러고 나서 나이트 모드 비활성화해줘,<function_PG>();<function_BS>(enable=False)<end>
2PDTLB,고정 공청 기능 켜줘 그리고 월요일 나이로비 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=3, location=나이로비)<end>"
2PEVMA,매너모드는 어떤 기능이야,<function_JS>(type=1)<end>
2PHMTU,이번 주말에는 가족들과 여행을 가기로 했어,<function_MR>()<end>
2PHQNO,바람을 약하게 해주세요,<function_NK>(speed=-1)<end>
2PHZWP,일요일 의성 날씨 좀 알려줄래,"<function_MO>(timeframe=9, location=""의성"")<end>"
2PMAEQ,그동안 필터를 얼마나 소진했어?,<function_UJ>()<end>
2PNVNI,청정 켜봐 그 다음에 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>
2PONZQ,오늘 저녁은 무슨 메뉴로 할지 고민 중이야 다음으로 바이탈 사인 체크해주세요,<function_MR>();<function_GV>()<end>
2PSEOI,공기질 상태 엘이디 꺼줘,<function_SC>(enable=False)<end>
2PWBLM,고정 공청 기능 켜줘 다음으로 공기청정 작동 중인가요,<function_PG>();<function_ID>(get=True)<end>
2PWYLI,새로운 화장품을 샀는데 정말 좋아,<function_MR>()<end>
2PZKBA,토끼반에서 청정 기능 켜줄 수 있을까요,"<function_FF>(position=""토끼반"")<end>"
2QCHVS,토요일 가평 날씨 어때,"<function_MO>(timeframe=8, location=""가평"")<end>"
2QCQMR,화요일 여기 날씨 어때,"<function_MO>(timeframe=4, location=""0"")<end>"
2QGCJM,집에 돌아와서 샤워하니까 너무 상쾌해졌어,<function_MR>()<end>
2QHGML,스캐닝 기능 비활성화 해줘 또 주말엔 보통 뭐해,<function_IH>(scan=False);<function_MR>()<end>
2QKKAU,온도를 섭씨로 변경할 수 있어 다음으로 새로 나온 책을 읽고 있는데 너무 흥미진진해서 시간 가는 줄 몰라,<function_EW>(type=0);<function_MR>()<end>
2QKZIS,내일 송도 공기질 상태 괜찮아,"<function_IO>(timeframe=1, location=""송도"")<end>"
2QMKYZ,수요일 서초구 날씨 알려줘,"<function_MO>(timeframe=5, location=""서초구"")<end>"
2QNKWU,고정 공기 청정 가동 시작해줘 그리고 외부 공기질 데이터 연계 기능을 활성화할 수 있어,"<function_PG>();<function_BP>(enable=0, type=0)<end>"
2QNXOC,청정 켜봐 다음으로 터치음을 팔십퍼로 설정해줘,<function_PG>();<function_ZV>(volume=4)<end>
2QQQAB,요즘은 건강에 신경을 많이 써서 운동을 더 자주 하고 있어,<function_MR>()<end>
2QUJCN,당장 에이아이 기능 오프,"<function_BP>(enable=1, type=-1)<end>"
2QVDMG,매일 운동하려고 노력 중이야,<function_MR>()<end>
2QVIEC,주말에 같이 게임할 사람 구하는데 누구 할래,<function_MR>()<end>
2QWUPY,프라이버시 모드는 어떤 기능이야,<function_JS>(type=2)<end>
2QXZDI,오늘은 푹 쉬고 싶어서 집에서 시간을 보내려고 해,<function_MR>()<end>
2REKPX,일요일 날씨 더워,"<function_MO>(timeframe=9, location=""0"")<end>"
2RFGVX,배터리 상태 알려줘,<function_JJ>()<end>
2RGKKP,내일 중요한 회의가 있어서 준비를 좀 더 해야겠어,<function_MR>()<end>
2RHDUT,고정 공기 청정 가동 시작해줘 다음으로 터보 바람 세기로 해줘,<function_PG>();<function_NK>(speed=4)<end>
2RKICC,내일 베이징의 공기질 예보를 보여줘 이어서 수영하러 가는 거 어때,"<function_IO>(timeframe=1, location=베이징);<function_MR>()<end>"
2RLIIA,내일은 아침에 일찍 일어나서 운동하고 싶어,<function_MR>()<end>
2RPNIY,충전하러 움직여,<function_KI>()<end>
2RPXIF,필터 교체 주기 좀 알려죠,<function_PC>(type=1)<end>
2SBVZA,A1 필터 관리 어떻게 해,<function_PC>(type=3)<end>
2SFRIL,내일은 오랜만에 친구랑 점심을 먹으려고 해,<function_MR>()<end>
2SHHTD,어디로 가는 중인지 말해주실래요 그리고 이번 주말에는 집에서 푹 쉬면서 시간을 보내려고 해,<function_ID>(get=True);<function_MR>()<end>
2SHRRW,바로 에이아이 기능 시작,"<function_BP>(enable=0, type=-1)<end>"
2SKCQS,스테이션 위치로 복귀하세요 그리고 가장 낮은 단계로 밝기를 조정할 수 있어,<function_KI>();<function_WN>(brightness=0)<end>
2SLIVV,목소리 성별 바꿔,<function_GQ>(gender=-1)<end>
2SRRDG,언어 바꿀래,<function_HS>(type=-1)<end> 
2SXTXZ,요즘 재미있는 책 있어,<function_MR>()<end>
2TCOWK,새로 산 이어폰이 정말 좋아서 음악 듣는 게 더 즐거워졌어,<function_MR>()<end>
2TGJSX,내일 인천 공기질 안 좋아,"<function_IO>(timeframe=1, location=""인천"")<end>"
2TIWKP,일요일 삿포로 날씨 비 와요,"<function_MO>(timeframe=9, location=""삿포로"")<end>"
2TJEDJ,지금 프라이버시 기능 돌아가고 있니,<function_GN>(get=True)<end>
2TOQNU,음량을 삼단계로 설정해줘,<function_ZV>(volume=3)<end>
2TSRCQ,이동 멈춰줘.,<function_YA>(move=0)<end>
2TUKWG,새로운 노트북을 살까 말까 고민 중이야 그 후에 목요일 노량진 공기질 때문에 마스크 써야 할까,"<function_MR>();<function_IO>(timeframe=6, location=노량진)<end>"
2UCFYI,너가 할 줄 아는 게 뭐야?,<function_EN>(type=2)<end>
2UFKQY,금요일 날씨 더워,"<function_MO>(timeframe=7, location=""0"")<end>"
2UGJUB,제품 외관 관리하는 법이 궁금해,<function_PC>(type=8)<end>
2UKFNB,저쪽 공기 상태는 어때,"<function_IO>(timeframe=0, location=""0"")<end>"
2UNXLU,이 영화 어때,<function_MR>()<end>
2UOMRN,강서구에 내일 극초미세먼지 많아,"<function_IO>(timeframe=1, location=""강서구"")<end>"
2UQCQE,주말 기기 주변 공기 상태는 어때,"<function_IO>(timeframe=2, location=""0"")<end>"
2UUPYE,운동을 꾸준히 하려고 노력 중인데 쉽지 않네,<function_MR>()<end>
2UUVFW,지금 공기질 모니터링 상태 알려주실래요,"<function_IO>(timeframe=0, location=""0"")<end>"
2UYLXB,이 배우 연기 진짜 잘하지,<function_MR>()<end>
2UZRGF,충전 위치로 되돌아가 다음으로 수요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>"
2VCWCC,일요일 날씨,"<function_MO>(timeframe=9, location=""0"")<end>"
2VNQRM,목요일 도쿄 날씨 많이 더울까,"<function_MO>(timeframe=6, location=""도쿄"")<end>"
2VOHVM,이번 주말에는 영화를 보러 갈 계획이 있어,<function_MR>()<end>
2VTGAD,일요일 웰링턴 날씨 안내해줘,"<function_MO>(timeframe=9, location=""웰링턴"")<end>"
2VTJUL,장애물 감지 센서가 더러워졌는데 어떻게 해야 해,<function_PC>(type=6)<end>
2VYMCF,일요일 날씨 전망을 표시해줄 수 있어 그 다음에 새로 나온 스마트폰 사고 싶은데 지금 사도 괜찮을까,"<function_MO>(timeframe=9, location=""0"");<function_MR>()<end>"
2VYMWI,새로 시작한 취미가 너무 즐거워 더 자주 하고 싶어,<function_MR>()<end>
2VYPCI,고정 청정 온 그 후에 온도를 섭씨로 변경할 수 있어,<function_PG>();<function_EW>(type=0)<end>
2VYSIX,고정 청정 온 그 후에 가든으로 가서 청정해 줘,<function_PG>();<function_FF>(position=가든)<end>
2VZMQG,공기질 아이 표시 기능 해제해줘 이어서 디저트 먹고 싶은데 뭐가 좋을까,<function_SC>(enable=False);<function_MR>()<end>
2WCYCB,주말에는 주로 공부하니 또 수요일 기기 근처 공기 상태는 어때,"<function_MR>();<function_IO>(timeframe=5, location=""0"")<end>"
2WEFHJ,이번 주말에는 오랜만에 가족들과 시간을 보내려고 해,<function_MR>()<end>
2WGKES,주말에 가족들이랑 놀러 가려고 계획 중이야,<function_MR>()<end>
2WOITV,오늘은 진짜 아무것도 하기 싫어서 그냥 누워만 있었어,<function_MR>()<end>
2WPDHU,목요일 홍천 날씨 알려줄래,"<function_MO>(timeframe=6, location=""홍천"")<end>"
