sample_no,row_id,func,raw_args,call_order,source_index,query,fill_reason
6,586,MO,"timeframe=7, location=""사이판""",0,2BABDE,금요일 사이판 날씨 알려주세요,unique_diverse
7,652,MO,"timeframe=9, location=""벤쿠버""",0,2HRSMB,일요일 벤쿠버 날씨 어때,unique_diverse
8,1784,MO,"timeframe=9, location=""밀드라""",0,6HHGUH,밀드라 일요일 날씨 어때요,unique_diverse
9,655,MO,"timeframe=7, location=""미슐콜츠""",0,2HVLGU,미슐콜츠의 금요일 날씨 정보 표시해줄래,unique_diverse
10,994,MO,"timeframe=5, location=""부에노스아이레스""",0,3OYBJK,수요일 부에노스아이레스 날씨가 어떤가요,unique_diverse
1,2,MR,,0,0AIWYM,저는 음악을 듣는 걸 좋아해요,fill_empty
2,6,MR,,0,0AOMIK,이 책 정말 재밌어,fill_empty
3,13,MR,,0,0AXBFG,다음 달에 있을 콘서트를 기대하고 있어 정말 재밌을 것 같아,fill_empty
4,16,MR,,0,0BGMGY,제주도 여행 가봤어,fill_empty
5,22,MR,,0,0BSLTV,새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,fill_empty
6,25,MR,,0,0BYOOB,이번 달은 너무 바빠서 친구들 만날 시간이 없었어,fill_empty
7,32,MR,,0,0CSFLE,오늘 저녁은 뭘 먹을지 고민 중이야 배는 고픈데 딱히 생각나는 게 없어,fill_empty
8,35,MR,,0,0CUUMZ,요즘 읽고 있는 책이 정말 흥미로워,fill_empty
9,39,MR,,0,0CYSFB,새로운 가방을 사고 싶은데 어떤 게 좋을까 고민 중이야,fill_empty
10,42,MR,,0,0DFGKQ,요즘 스트레스를 너무 많이 받아서 운동으로 풀려고 해,fill_empty
1,64,MV,get=True,1,0EZPFP,충전하러 복귀 이어서 음소거 되어있나요,unique_all
2,535,MV,mute=True,0,1VMEHJ,음소거 기능 활성화를 원해요 그리고 이번에 새로 나온 영화 본 사람 있어,unique_all
3,183,MV,mute=False,0,0OKAPN,음소거 해제해줘,unique_all
4,234,MV,mute=False,0,0SKXEZ,음소거 취소해줘,fill_duplicate
5,284,MV,mute=False,0,0YGHOM,지금 음소거 모드 해제해줘 그 후에 이 영화 명장면이지,fill_duplicate
6,440,MV,get=True,1,1NDFQY,고정 공기 청정 실행해줘 또 음소거 상태 알려줘,fill_duplicate
7,479,MV,get=True,0,1QQTYQ,음소거 기능 켜져있어,fill_duplicate
8,566,MV,get=True,1,1YZFFJ,고정 공기 청정 가동 시작해줘 그리고 음소거 상태 알려줘,fill_duplicate
9,570,MV,get=True,1,1ZJHEN,스테이션 위치로 복귀하세요 또 음소거 아닌 상태야,fill_duplicate
10,709,MV,mute=False,0,2NYLEI,음소거 꺼줘,fill_duplicate
1,26,NK,speed=3,0,0CAISP,풍량 강풍으로 바꿔줘,unique_all
2,81,NK,speed=0,1,0GEHXS,내일 중요한 미팅 있어 이어서 바람 강도 자동으로 맞춰줘,unique_all
3,141,NK,speed=4,1,0LCDVR,이 영화 예고편 봤어 다음으로 풍량을 터보로 바꿔줘,unique_all
4,189,NK,speed=2,0,0OYVXZ,풍속 중풍으로 조정해줘 그 후에 오늘 하루 어땠어,unique_all
5,199,NK,speed=1,0,0PUZUR,약풍으로 바꿔줘,unique_all
6,27,NK,speed=-1,0,0CBIBZ,풍량을 조금 줄여주세요,unique_all
7,443,NK,get=True,1,1NJOFW,커피 마실래 그러고 나서 풍속 몇으로 맞춰져 있는지 확인해줘,unique_all
8,52,NK,speed=-1,0,0EDYNH,풍량을 낮춰주세요,fill_duplicate
9,176,NK,speed=4,0,0NSZAC,팬 풍냥 터보 세기로 해줘 다음으로 오늘 뭔가 할 게 많아,fill_duplicate
10,225,NK,speed=1,0,0RLGFK,약한 바람으로 해줘,fill_duplicate
1,86,NN,get=True,1,0GKANF,처음 위치로 돌아가주면 좋겠어 그리고 유부이 에릴디 작동 중이야,unique_all
2,11,NN,enable=True,0,0AUZHX,유부이 살균 에릴디 실행해줘 그 후에 오늘 저녁은 샐러드로 가볍게 먹을까,unique_all
3,267,NN,enable=False,1,0WKHKW,충전 위치로 되돌아가 또 유뷔 엘리디 작동 정지해,unique_all
4,102,NN,enable=True,0,0HFJLQ,유브이 살균 엘이디 좀 켜줘,fill_duplicate
5,275,NN,enable=True,1,0XKLHS,빵집에서 맛있는 빵 사왔어 그 후에 유뷔 살균 엘이디 기능 시작,fill_duplicate
6,326,NN,enable=True,1,1BZDGL,고정 청정 온 또 유비이 에리디 빛 켜주라,fill_duplicate
7,382,NN,get=True,1,1HPAMB,고정 공기 청정 실행해줘 그러고 나서 유브이 살균 엘이디 기능 켜져 있나요,fill_duplicate
8,409,NN,get=True,0,1JOTFO,유비이 살균 에릴디 기능 상태 확인해줘 다음으로 비행기 표 예약했어,fill_duplicate
9,418,NN,enable=False,1,1KDCND,이번 주말에 근교로 드라이브 갈래 그 다음에 유뷔 엘리디 작동 정지해,fill_duplicate
10,459,NN,enable=True,0,1OPTPG,유비이 에리디 빛 켜주라 그 후에 아이스크림 먹으러 가자,fill_duplicate
1,412,PC,type=5,0,1JWARW,라이다 센서 관리하는 법이 궁금해,unique_all
2,550,PC,type=4,0,1XMSNU,센서창 청소 방법을 설명해줘,unique_all
3,635,PC,type=8,0,2FWFZE,제품 외관 청소하는 법 알려죠,unique_all
4,758,PC,type=1,0,2RPXIF,필터 교체 주기 좀 알려죠,unique_all
5,759,PC,type=3,0,2SBVZA,A1 필터 관리 어떻게 해,unique_all
6,789,PC,type=6,0,2VTJUL,장애물 감지 센서가 더러워졌는데 어떻게 해야 해,unique_all
7,1230,PC,type=7,0,4KBWCA,전원 꽂는 곳 어떻게 닦으면 돼?,unique_all
8,776,PC,type=8,0,2UGJUB,제품 외관 관리하는 법이 궁금해,fill_duplicate
9,970,PC,type=4,0,3MZVZF,센서창 관리하는 법이 궁금해,fill_duplicate
10,1098,PC,type=1,0,3ZBDRF,필터 교체는 얼마마다 하면 돼,fill_duplicate
1,10,PG,,0,0AUYXL,고정 청정 온 다음으로 센서 감도를 민감으로 바꿔줄래,fill_empty
2,24,PG,,0,0BWRJQ,청정 켜봐 이어서 음성을 남자로 전환해줄래,fill_empty
3,28,PG,,0,0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,fill_empty
4,69,PG,,0,0FFTCF,고정 청정 온 그리고 공기질 상태 표시 작동 중인지 알려줘,fill_empty
5,75,PG,,0,0FQPUP,고정 공기 청정 실행해줘 그 다음에 프라이버시 상태 확인해줘,fill_empty
6,85,PG,,0,0GJEHI,고정 공기 청정 가동 시작해줘 그러고 나서 하이나무 남자로 설정해주세요,fill_empty
7,89,PG,,0,0GNSLV,고정 공청 기능 켜줘 월요일 카이로 날씨 알려줘,fill_empty
8,103,PG,,0,0HFNAV,청정 켜봐 그리고 매너모드 켜줘,fill_empty
9,111,PG,,0,0IFMPP,고정 청정 온 일요일 미세먼지 농도 어때,fill_empty
10,133,PG,,0,0KGFNC,고정 공기 청정 가동 시작해줘 그러고 나서 센서 민감도 상태 알려주세요,fill_empty
1,10,QD,type=2,1,0AUYXL,고정 청정 온 다음으로 센서 감도를 민감으로 바꿔줄래,unique_all
2,18,QD,type=1,0,0BNEWO,감지 감도 보통으로 맞출래,unique_all
3,178,QD,type=0,1,0NZBLE,고정 공청 기능 켜줘 감지 민감도를 낮게 조정할 수 있어,unique_all
4,204,QD,type=-1,0,0QCTAD,감지 감도 레벨을 바꿔줄래요,unique_all
5,133,QD,get=True,1,0KGFNC,고정 공기 청정 가동 시작해줘 그러고 나서 센서 민감도 상태 알려주세요,unique_all
6,203,QD,get=True,0,0PZUGL,센서 민감도를 낮춰주세요,fill_duplicate
7,441,QD,get=True,0,1NHXXY,센서 민감도 낮음으로 되어있니,fill_duplicate
8,601,QD,type=0,1,2CSIMI,새로 산 옷이 너무 마음에 들어 매일 입고 다니고 있어 또 감지 감도를 낮게 설정해줘,fill_duplicate
9,611,QD,type=0,1,2EGZUB,고정 공기 청정 실행해줘 그 다음에 감지 감도를 낮게 설정해줘,fill_duplicate
10,815,QD,get=True,0,2XLOMA,센서 민감도 낮음 단계에요,fill_duplicate
1,1,QT,get=True,0,0AHOUT,음성인식 켜져있어,unique_all
2,53,QT,enable=True,0,0EERGG,음성인식 기능 활성화 해줘,unique_all
3,413,QT,enable=False,0,1JWAVZ,음성인식 중지해줘,unique_all
4,310,QT,enable=True,0,1ALWIP,듣기 모드 시작해 그리고 새로 시작한 취미가 너무 재미있어서 시간 가는 줄 모르겠어,fill_duplicate
5,400,QT,get=True,1,1IZFOD,고정 공기 청정 가동 시작해줘 나무 현재 상태 확인해줘,fill_duplicate
6,471,QT,get=True,1,1QIHEA,고정 공기 청정 실행해줘 그 후에 듣기 기능 활성화됐나요,fill_duplicate
7,556,QT,enable=True,1,1YEGLO,고정 공기 청정 실행해줘 음성 인식 기능 켜줘,fill_duplicate
8,574,QT,get=True,0,1ZYOPX,음성인식 기능 켜져있어,fill_duplicate
9,903,QT,enable=False,0,3FYWBC,음성 인지 시스템 종료해 그러고 나서 책을 다 읽었는데 이제 무슨 책을 읽어야 할지 고민이네,fill_duplicate
10,951,QT,get=True,0,3KUSZH,음성 인식이 작동되어있나요 또 이번 달은 너무 바빠서 친구들 만날 시간이 없었어,fill_duplicate
1,155,SB,type=4,0,0MFXSK,공기청정기의 구성을 설명해줄래.,unique_all
2,156,SB,type=2,0,0MGPDE,어떤 필터를 사용해,unique_all
3,532,SB,type=5,0,1VJDSL,내 개인정보는 안전하게 보관되는 거지,unique_all
4,589,SB,type=3,0,2BGZNQ,공기청정기 최대 소음 수준을 알고 싶어.,unique_all
5,2061,SB,type=1,0,7ELTZO,인증 정보를 알려줘,unique_all
6,298,SB,type=2,0,0ZLZRE,어떤 필터를 사야해,fill_duplicate
7,644,SB,type=3,0,2GTCZA,공청기의 최대 소음을 알려줘.,fill_duplicate
8,686,SB,type=3,0,2KDOAE,최대 소음은 어느 정도야?,fill_duplicate
9,851,SB,type=5,0,3AJSPY,내 기기에 대한 정보를 알고 싶어,fill_duplicate
10,1020,SB,type=4,0,3RLDST,공기청정기의 구성 요소를 나열해줄 수 있어?,fill_duplicate
1,69,SC,get=True,1,0FFTCF,고정 청정 온 그리고 공기질 상태 표시 작동 중인지 알려줘,unique_all
2,230,SC,enable=True,1,0RWIAP,고정 공기 청정 실행해줘 그 후에 엘이디 공기질 상태 표시 기능 작동,unique_all
3,604,SC,enable=False,0,2DFLTX,공기질 표시 엘이디 꺼줘,unique_all
4,94,SC,get=True,1,0GXMKD,새로운 요리법 배웠어 그리고 공기질 상태 표시 켜져있어,fill_duplicate
5,395,SC,get=True,0,1IPTEI,공기질 엘이디 작동 중이야,fill_duplicate
6,665,SC,enable=False,1,2IJLJR,충전하러 복귀 다음으로 공기질 상태 표시 작동 정지해,fill_duplicate
7,732,SC,enable=False,0,2PSEOI,공기질 상태 엘이디 꺼줘,fill_duplicate
8,794,SC,enable=False,0,2VZMQG,공기질 아이 표시 기능 해제해줘 이어서 디저트 먹고 싶은데 뭐가 좋을까,fill_duplicate
9,957,SC,enable=True,1,3LCODL,충전하러 복귀 그 다음에 공기질 상태 표시 켜줘,fill_duplicate
10,1145,SC,get=True,0,4DFJRD,공기질 상태 표시 엘이디 작동중이야,fill_duplicate
1,296,SV,type=3,0,0ZJUFU,나이트 모드 작동 중이니?,unique_all
2,332,SV,type=5,0,1CPEIB,오늘 날짜 알려줘.,unique_all
3,444,SV,type=4,0,1NLRDQ,와이파이 켜 있는지 알고 싶어.,unique_all
4,452,SV,type=2,0,1OFDBM,매너모드 켜진 상태인가?,unique_all
5,1162,SV,type=1,0,4EGHBA,시계가 몇 시야?,unique_all
6,341,SV,type=3,0,1DNDVT,나이트 모드 켜져있니?,fill_duplicate
7,429,SV,type=5,0,1MEUOZ,오늘 며칠이야?,fill_duplicate
8,456,SV,type=2,0,1OMLTA,매너모드 지금 켜져있어?,fill_duplicate
9,482,SV,type=2,0,1QWUXS,매너모드 켜진 상태야?,fill_duplicate
10,708,SV,type=5,0,2NVEXM,몇 월 며칠인지 알려줘.,fill_duplicate
1,565,UJ,,0,1YWLXO,스크린에서 필터 상태 보여주세요.,fill_empty
2,596,UJ,,1,2CADJZ,오늘 하루는 정말 길었어 이제 쉬고 싶다 그 다음에 필터 상태 알려주세요,fill_empty
3,729,UJ,,0,2PMAEQ,그동안 필터를 얼마나 소진했어?,fill_empty
4,932,UJ,,0,3IXHOF,필터 상태를 스크린에 보여주세요.,fill_empty
5,1205,UJ,,1,4HRDVS,유튜버나 인플루언서 중에 꾸준히 보는 사람 있어 그 다음에 현재 필터 사용량을 보여줄 수 있어,fill_empty
6,1683,UJ,,1,5ZXHNU,청정 켜봐 그 다음에 현재 필터 사용량을 보여줄 수 있어,fill_empty
7,1928,UJ,,0,6TPGXL,스크린에 필터 상태 보여줄래?,fill_empty
8,2197,UJ,,0,7RFIRE,에이원 필터 잔여량이 얼마나 남았는지 확인해주세요 그 다음에 친구가 보내준 선물이 정말 마음에 들어 오랜만에 웃었어,fill_empty
9,2294,UJ,,0,7YOAZB,지금 필터의 수명이 어떻게 되나요 그 다음에 새로운 취미를 찾고 싶은데 뭐가 좋을지 모르겠어,fill_empty
10,2637,UJ,,0,9FJLYJ,스크린에 필터 상태 표시해주세요.,fill_empty
1,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,fill_empty
2,602,UY,,0,2DBFFZ,지금 화면에 뜬 에러코드는 왜 생긴거에요,fill_empty
3,1168,UY,,0,4EZOHW,이 에러코드가 뜨면 어떡해,fill_empty
4,1267,UY,,0,4NVZND,F01 에러코드의 의미가 무엇인지 알려줄 수 있어?,fill_empty
5,2545,UY,,0,8VZIOM,이건 무슨 에러코드야,fill_empty
6,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,pad_repeat
7,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,pad_repeat
8,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,pad_repeat
9,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,pad_repeat
10,80,UY,,0,0GCNJQ,화면에 있는 에러코드를 설명해줘,pad_repeat
1,55,WN,get=True,0,0EKBGS,엘이디 밝기가 몇프로야,unique_all
2,9,WN,brightness=1,1,0ASWQQ,이제 그만 복귀해 밝기를 일로 조정해줘,unique_all
3,28,WN,brightness=2,1,0CEMNU,고정 공기 청정 실행해줘 이어서 밝기를 2로 조정해줘,unique_all
4,30,WN,brightness=4,1,0CIGVC,처음 위치로 돌아가주면 좋겠어 엘이디를 팔십프로로 바꿔줘,unique_all
5,134,WN,brightness=3,1,0KGRNT,고정 공청 기능 켜줘 그 다음에 엘씨디 조도를 삼단계로 맞춰줄래,unique_all
6,169,WN,brightness=0,1,0NFKHG,고정 공청 기능 켜줘 그 다음에 엘이디 조명 꺼줘,unique_all
7,207,WN,brightness=5,0,0QHSEE,엘이디 밝기 최대로 해줘,unique_all
8,592,WN,brightness=-1,0,2BPVUT,밝기 조절해줄 수 있어?,unique_all
9,41,WN,brightness=4,1,0DCNQW,이제 그만 복귀해 그리고 화면 밝기를 4단계로 조정해줄래,fill_duplicate
10,70,WN,get=True,0,0FHSYX,지금 밝기 몇단계야,fill_duplicate
1,576,XO,,1,2AAUWC,고정 공청 기능 켜줘 그리고 오류 히스토리 확인해줘,fill_empty
2,1251,XO,,0,4MHMDR,오류 기록을 보여줘,fill_empty
3,1469,XO,,1,5GQDHT,고정 공기 청정 가동 시작해줘 그리고 에러 띄워줘,fill_empty
4,1745,XO,,1,6EIVPF,가볍게 웃을 수 있는 영화 추천해 줄래 이어서 에러 내역 보여줘,fill_empty
5,1801,XO,,0,6IZHTS,에러 내역 표시해줘,fill_empty
6,1976,XO,,1,6XPOYF,일본어로 고마워는 어떻게 말해 이어서 오류 목록 조회해줘,fill_empty
7,2136,XO,,0,7MMWKQ,에러 이력 표시해줄래,fill_empty
8,2275,XO,,0,7WSOUI,에러 이력 확인해줘,fill_empty
9,2448,XO,,0,8MKPXB,에러 내역 보여줘,fill_empty
10,2749,XO,,0,9PNSOP,에러 기록 알려줘 이어서 저녁으로 뭘 먹을지 아직도 고민 중이야 뭘 먹을까,fill_empty
1,286,YA,move=2,0,0YIMIY,운행 다시 시작해.,unique_all
2,609,YA,move=1,1,2DZZSI,이번 주말에 새로운 식당을 찾아가볼까 고민 중이야 그러고 나서 이동 잠시 일시 정지해줘,unique_all
3,772,YA,move=0,0,2TSRCQ,이동 멈춰줘.,unique_all
4,835,YA,move=2,0,2ZGHDX,멈춘 주행 빨리 다시 켜봐.,fill_duplicate
5,964,YA,move=1,0,3MLCEF,드라이브를 잠시 멈춰줘.,fill_duplicate
6,1004,YA,move=1,0,3PYFKF,드라이브 잠깐 일시 정지해.,fill_duplicate
7,1294,YA,move=2,0,4PTBZK,운행 빨리 다시 틀어.,fill_duplicate
8,1352,YA,move=0,0,4VOYIE,이동 정지해줘.,fill_duplicate
9,1393,YA,move=2,1,5AEMBU,고정 청정 온 그러고 나서 청정 기능 재시작해줘,fill_duplicate
10,1584,YA,move=0,1,5RACAO,다음 주에 중요한 미팅이 있어서 준비를 철저히 해야 해 다음으로 이동 멈춰줘,fill_duplicate
1,29,ZV,volume=0,0,0CGIRU,음량을 영으로 설정해줘,unique_all
2,54,ZV,volume=2,0,0EIZRQ,효과음을 이단계로 설정해줘,unique_all
3,63,ZV,volume=1,0,0EZKGQ,볼륨 일로 해줘,unique_all
4,71,ZV,volume=5,1,0FILTG,이제 그만 복귀해 효과음을 5단계로 바꿔줘,unique_all
5,135,ZV,volume=4,0,0KOGIY,소리 볼륨을 사로 맞춰줘 그리고 이번 주에 할 일이 많아서 큰일이야,unique_all
6,161,ZV,get=True,1,0MRFDI,지금 뭐 하고 있어 이어서 효과음 볼륨이 현재 몇 퍼인지 알고 싶어요,unique_all
7,188,ZV,volume=3,0,0OYVXQ,볼륨 삼으로 해줘,unique_all
8,285,ZV,volume=-1,0,0YHYDL,기본 수준으로 오디오 설정을 해주세요,unique_all
9,148,ZV,volume=5,0,0LVBFV,미디음 오로 맞춰 또 아 맛있는 거 먹고 싶은걸,fill_duplicate
10,258,ZV,volume=1,0,0VPLJC,터치음을 이십퍼로 설정해줘 그 다음에 주말에 만날래,fill_duplicate
1,103,ZX,enable=True,1,0HFNAV,청정 켜봐 그리고 매너모드 켜줘,unique_all
2,882,ZX,enable=False,0,3DWZDI,매너모드 비활성화해줘,unique_all
3,118,ZX,enable=True,0,0JBLYJ,매너모드 작동시켜줘,fill_duplicate
4,461,ZX,enable=True,0,1OXMVK,매너모드 활성화해줘,fill_duplicate
5,595,ZX,enable=True,0,2BZAOF,매너모드 실행해줄래 또 저녁에 산책할 때 조용한 음악을 들으면 기분이 좋아져,fill_duplicate
6,608,ZX,enable=True,1,2DSSZI,"아, 그만하고 싶다, 이거 또 매너모드 활성화해줘",fill_duplicate
7,808,ZX,enable=True,1,2XAQDL,고정 공청 기능 켜줘 이어서 매너모드로 설정해주세요,fill_duplicate
8,819,ZX,enable=True,0,2XSYQE,매너모드 설정해줘,fill_duplicate
9,984,ZX,enable=False,0,3OCCOX,매너모드 중지해줘,fill_duplicate
10,988,ZX,enable=False,1,3OOEDG,요즘에는 뉴스 볼 때마다 걱정되는 일이 많아 이어서 매너모드 해제해줘,fill_duplicate
